Setting,prompt_id,Prompts,failure_ratio,score_mean,score_std,0,1,2,3,4,5,6,7,8,9
"C, 0.7",3,Indirect\nCharacterization,0.6,0.3,0.74,0.33,0.67,1.33,0.33,-1.33,-0.33,1,0,1,0
"C, 0.7",4,Fast\nPacing,0.2,0.6,0.59,-0.33,0.33,1,0,0.67,0.67,0,1.67,1.33,0.67
"C, 0.7",5,"""Tragedy""\nPlot",0.1,1.6,0.68,2,1.33,-0.33,1.67,2,1.67,2,1.67,2,2
"C, 0.7",6,Historical Fiction\nGenre,0.6,-0.03,1.47,-0.67,-1.33,2,-1.67,-0.67,1.67,-2,1,2,-0.67
"D, 0.7",0,Flowery\nWriting style,0.2,1.03,0.77,1.67,1.33,0,1,-0.67,2,1,1,1.67,1.33
"D, 0.7",1,Humorous\nTone,0.9,-0.5,0.48,-0.67,0,-1,-0.67,-0.67,0,-0.33,-0.67,-1.33,0.33
"D, 0.7",2,Fearful\nMood,0.3,0.57,0.7,1.33,-0.33,1.33,0.33,0.33,-0.67,1.33,1,0,1
"D, 0.7",3,Indirect\nCharacterization,0.2,0.7,0.64,1,0.67,-0.33,1,0.67,1.33,1,1,1.33,-0.67
"D, 0.7",4,Fast\nPacing,0.1,1.23,0.72,1.33,1,1.33,1.33,2,1,-0.67,1.33,1.67,2
"D, 0.7",5,"""Tragedy""\nPlot",0,1.6,0.39,1.33,1.67,1.67,2,1.33,2,1,2,2,1
"D, 0.7",6,Historical Fiction\nGenre,0.3,0.77,0.93,0.33,1,2,1.33,1.67,0,-0.33,1,1.67,-1
"D, 0.4",0,Flowery\nWriting style,0.4,1.07,0.74,0,1.33,2,0,1,1.67,0.33,2,0.67,1.67
"D, 0.4",1,Humorous\nTone,0.4,0.63,0.85,0,0,-0.67,1,2,-0.33,1.67,1.33,0.33,1
"D, 0.4",2,Fearful\nMood,0.2,1.07,0.77,-0.33,0,1.67,1,2,0.33,1.67,1.67,1.67,1
"D, 0.4",3,Indirect\nCharacterization,0.1,0.87,0.52,2,1,0.67,0.67,1,0.33,1.33,0.67,0,1
"D, 0.4",4,Fast\nPacing,0,1.43,0.37,0.67,1.67,1.33,1.33,2,1.33,1.67,1.67,1.67,1
"D, 0.4",5,"""Tragedy""\nPlot",0,1.67,0.42,2,2,2,1,1.33,1,1.33,2,2,2
"D, 0.4",6,Historical Fiction\nGenre,0.2,1.07,0.76,1.33,0.67,-0.33,0.67,0.33,2,0.67,2,1.33,2
"D, 1.0",0,Flowery\nWriting style,0.2,1.23,0.73,0.33,1.33,2,2,1.67,1.33,0.67,-0.33,1.67,1.67
"D, 1.0",1,Humorous\nTone,0.5,-0.13,1.17,1,0.33,-1,-1.67,1,-0.33,-1.33,1.67,0.67,-1.67
"D, 1.0",2,Fearful\nMood,0,1.77,0.21,2,1.67,2,1.67,2,1.67,1.67,2,1.67,1.33
"D, 1.0",3,Indirect\nCharacterization,0.1,0.97,0.5,1,1.67,-0.33,1,1.33,1,0.67,1,1.33,1
"D, 1.0",4,Fast\nPacing,0,1.4,0.55,1.67,0.67,2,2,0.67,1.67,2,0.67,1.67,1
"D, 1.0",5,"""Tragedy""\nPlot",0,1.73,0.49,2,1.67,2,2,0.33,2,1.67,1.67,2,2
"D, 1.0",6,Historical Fiction\nGenre,0.3,0.83,1.01,0.33,1.67,-0.67,0.67,1,2,0,2,-0.67,2
